SubjectTag	SubjectID	SAMPLE_RACE	SAMPLE_SEX	ASVAB-8
45800	458	3	2	62
45900	459	3	2	54
46000	460	3	2	61
46100	461	3	1	36
46200	462	3	2	49
46300	463	3	1	46
46400	464	3	1	69
46500	465	3	2	54
46600	466	3	1	-4
46700	467	3	2	69
46800	468	3	1	52
46900	469	1	1	39
47000	470	3	1	8
47100	471	3	2	63
47200	472	3	2	39
47300	473	3	1	-4
47400	474	3	2	32
47500	475	3	2	43
47600	476	3	2	-4
47700	477	3	1	34
47800	478	3	2	53
47900	479	3	1	45
48000	480	3	1	37
48100	481	3	1	50
48200	482	3	1	56
48300	483	3	1	56
48400	484	3	1	36
48500	485	3	2	48
48600	486	3	1	40
48700	487	3	2	60
48800	488	3	1	42
48900	489	3	1	57
49000	490	3	1	48
49100	491	3	2	19
49200	492	3	2	55
49300	493	3	1	51
49400	494	3	2	55
49500	495	3	2	49
49600	496	3	2	47
49700	497	3	1	44
49800	498	3	1	-4
49900	499	3	2	53
50000	500	3	2	59
50100	501	3	2	42
50200	502	3	1	51
50300	503	3	2	57
50400	504	3	2	45
50500	505	3	1	51
50600	506	3	2	49
50700	507	3	2	50
50800	508	3	1	47
50900	509	3	1	58
51000	510	3	2	70
51100	511	3	1	51
51200	512	3	1	52
51300	513	2	1	48
51400	514	2	2	42
51500	515	3	2	41
51600	516	2	1	10
51700	517	2	1	29
51800	518	2	1	30
51900	519	2	2	17
52000	520	2	1	47
52100	521	2	1	43
52200	522	2	2	45
52300	523	2	1	30
52400	524	2	1	51
52500	525	2	2	-4
52600	526	3	1	42
52700	527	3	2	25
52800	528	3	2	57
52900	529	3	2	-4
53000	530	3	2	55
53100	531	3	1	50
53200	532	3	2	19
53300	533	3	2	56
53400	534	3	1	20
53500	535	3	1	34
53600	536	3	2	13
53700	537	3	1	24
53800	538	3	1	25
53900	539	3	1	84
54000	540	3	1	42
54100	541	3	1	49
54200	542	3	2	-4
54300	543	3	1	48
54400	544	3	2	62
54500	545	3	1	52
54600	546	3	2	31
54700	547	3	1	22
54800	548	3	2	48
54900	549	3	1	46
55000	550	3	2	55
55100	551	3	2	-4
55200	552	3	2	58
55300	553	3	1	58
55400	554	3	1	40
55500	555	3	1	-4
55600	556	3	1	59
55700	557	3	2	79
55800	558	3	2	68
55900	559	3	1	49
56000	560	3	1	48
56100	561	3	2	54
56200	562	3	1	42
56300	563	3	2	23
56400	564	3	1	22
56500	565	3	1	49
56600	566	3	2	31
56700	567	3	2	13
56800	568	3	2	61
56900	569	3	1	55
57000	570	3	1	74
57100	571	3	1	56
57200	572	3	2	-4
57300	573	3	1	45
57400	574	3	2	47
57500	575	3	1	66
57600	576	3	2	57
57700	577	3	2	54
57800	578	3	1	62
57900	579	3	2	63
58000	580	3	1	27
58100	581	3	1	54
58200	582	3	2	50
58300	583	3	1	54
58400	584	3	1	38
58500	585	3	2	9
58600	586	3	1	35
58700	587	3	1	-4
58800	588	3	2	29
58900	589	3	2	0
59000	590	3	2	29
59100	591	1	2	51
59200	592	3	1	-4
59300	593	1	2	36
59400	594	2	1	18
59500	595	2	1	29
59600	596	2	1	32
59700	597	2	1	17
59800	598	2	2	36
59900	599	2	1	28
60000	600	3	1	62
60100	601	3	2	64
60200	602	3	1	-4
60300	603	3	2	23
60400	604	3	2	40
60500	605	3	1	58
60600	606	3	1	53
60700	607	3	1	50
60800	608	3	2	78
60900	609	3	2	49
61000	610	3	1	19
61100	611	3	2	64
61200	612	3	2	61
61300	613	3	1	36
61400	614	1	2	22
61500	615	3	2	41
61600	616	3	1	6
61700	617	3	2	39
61800	618	3	2	44
61900	619	3	2	43
62000	620	2	1	38
62100	621	2	2	4
62200	622	2	2	31
62300	623	2	2	18
62400	624	2	1	41
62500	625	2	1	6
62600	626	3	2	47
62700	627	3	2	65
62800	628	2	1	10
62900	629	3	1	14
63000	630	3	1	13
63100	631	3	1	35
63200	632	3	2	49
63300	633	3	1	77
63400	634	3	2	60
63500	635	3	2	55
63600	636	3	2	54
63700	637	3	1	39
63800	638	3	1	64
63900	639	3	1	45
64000	640	3	2	58
64100	641	3	1	37
64200	642	3	2	47
64300	643	3	2	57
64400	644	3	1	44
64500	645	3	1	52
64600	646	3	2	21
64700	647	3	1	58
64800	648	3	2	54
64900	649	3	1	72
65000	650	3	2	64
